valera, tx, 2020-10-20 21:00:00, H: NaN, D: NaN, COCO: NaN
whately, ma, 2020-10-20 17:43:00, H: NaN, D: NaN, COCO: NaN
kansascity, mo, 2020-10-20 14:28:00, H: NaN, D: NaN, COCO: NaN
hanover, md, 2020-10-20 06:53:00, H: NaN, D: NaN, COCO: NaN
santabarbara, ca, 2020-10-18 20:44:00, H: NaN, D: NaN, COCO: NaN
northport, fl, 2020-10-18 06:05:00, H: NaN, D: NaN, COCO: NaN
fishers, in, 2020-10-18 05:10:00, H: NaN, D: NaN, COCO: NaN
beaufort, sc, 2020-10-18 03:04:00, H: NaN, D: NaN, COCO: NaN
jonesboro, ar, 2020-10-18 00:51:00, H: NaN, D: NaN, COCO: NaN
mt.vernon, in, 2020-10-17 12:33:00, H: NaN, D: NaN, COCO: NaN
youngstown, oh, 2020-10-16 19:50:00, H: NaN, D: NaN, COCO: NaN
irmo, sc, 2020-10-15 10:31:00, H: NaN, D: NaN, COCO: NaN
northbrook, il, 2020-10-15 09:22:00, H: NaN, D: NaN, COCO: NaN
littlerock, ar, 2020-10-14 09:48:00, H: NaN, D: NaN, COCO: NaN
royalpalmbeach, fl, 2020-10-14 07:45:00, H: NaN, D: NaN, COCO: NaN
federalway, wa, 2020-10-13 23:20:00, H: NaN, D: NaN, COCO: NaN
boise, id, 2020-10-13 13:43:00, H: NaN, D: NaN, COCO: NaN
pinecity, ny, 2020-10-12 07:36:00, H: NaN, D: NaN, COCO: NaN
centerconway, nh, 2020-10-12 05:25:00, H: NaN, D: NaN, COCO: NaN
columbia, mo, 2020-10-11 17:10:00, H: NaN, D: NaN, COCO: NaN
millerton, pa, 2020-10-11 05:58:00, H: NaN, D: NaN, COCO: NaN
millerton, pa, 2020-10-11 05:58:00, H: NaN, D: NaN, COCO: NaN
hiltonbeach(canada), on, 2020-10-11 02:40:00, H: NaN, D: NaN, COCO: NaN
st.louis, mo, 2020-10-10 18:44:00, H: NaN, D: NaN, COCO: NaN
manchester, ct, 2020-10-09 18:50:00, H: NaN, D: NaN, COCO: NaN
garrettsville, oh, 2020-10-09 06:04:00, H: NaN, D: NaN, COCO: NaN
pinecity, ny, 2020-10-08 18:36:00, H: NaN, D: NaN, COCO: NaN
newburgh, in, 2020-10-08 13:30:00, H: NaN, D: NaN, COCO: NaN
northport, fl, 2020-10-08 13:17:00, H: NaN, D: NaN, COCO: NaN
davy, wv, 2020-10-08 12:00:00, H: NaN, D: NaN, COCO: NaN
spencerville, ks, 2020-10-07 19:08:00, H: NaN, D: NaN, COCO: NaN
hanover, md, 2020-10-07 14:38:00, H: NaN, D: NaN, COCO: NaN
boise, id, 2020-10-07 09:21:00, H: NaN, D: NaN, COCO: NaN
starvalley, az, 2020-10-07 03:14:00, H: NaN, D: NaN, COCO: NaN
farmingtonhills, mi, 2020-10-05 14:21:00, H: NaN, D: NaN, COCO: NaN
littlerock, ar, 2020-10-05 14:12:00, H: NaN, D: NaN, COCO: NaN
fishers, in, 2020-10-05 06:47:00, H: NaN, D: NaN, COCO: NaN
kansascity, mo, 2020-10-04 14:08:00, H: NaN, D: NaN, COCO: NaN
hanover, md, 2020-10-04 13:28:00, H: NaN, D: NaN, COCO: NaN
westchazy, ny, 2020-10-04 06:05:00, H: NaN, D: NaN, COCO: NaN
houston, tx, 2020-09-30 23:38:00, H: NaN, D: NaN, COCO: NaN
jonesboro, ar, 2020-09-30 05:08:00, H: NaN, D: NaN, COCO: NaN
houston, tx, 2020-09-29 23:38:00, H: NaN, D: NaN, COCO: NaN
westchazy, ny, 2020-09-29 06:48:00, H: NaN, D: NaN, COCO: NaN
ajax, on, 2020-09-28 18:12:00, H: NaN, D: NaN, COCO: NaN
independence, mo, 2020-09-27 20:31:00, H: NaN, D: NaN, COCO: NaN
spokane, wa, 2020-09-27 05:50:00, H: NaN, D: NaN, COCO: NaN
mt.vernon, in, 2020-09-27 01:25:00, H: NaN, D: NaN, COCO: NaN
littlerock, ca, 2020-09-26 12:12:00, H: NaN, D: NaN, COCO: NaN
furlong, pa, 2020-09-26 03:18:00, H: NaN, D: NaN, COCO: NaN
edmonds, wa, 2020-09-26 01:54:00, H: NaN, D: NaN, COCO: NaN
aliquippa, pa, 2020-09-25 00:20:00, H: NaN, D: NaN, COCO: NaN
payson, il, 2020-09-24 15:15:00, H: NaN, D: NaN, COCO: NaN
santaclaus, in, 2020-09-24 05:40:00, H: NaN, D: NaN, COCO: NaN
schererville, in, 2020-09-23 19:00:00, H: NaN, D: NaN, COCO: NaN
garrettsville, oh, 2020-09-23 15:05:00, H: NaN, D: NaN, COCO: NaN
farmingtonhills, mi, 2020-09-21 10:33:00, H: NaN, D: NaN, COCO: NaN
whately, ma, 2020-09-20 02:36:00, H: NaN, D: NaN, COCO: NaN
mountlaurel, nj, 2020-09-20 02:34:00, H: NaN, D: NaN, COCO: NaN
jonesboro, ar, 2020-09-19 13:46:00, H: NaN, D: NaN, COCO: NaN
furlong, pa, 2020-09-19 06:47:00, H: NaN, D: NaN, COCO: NaN
ajax(canada), on, 2020-09-19 04:02:00, H: NaN, D: NaN, COCO: NaN
